,0,1,2,3,4,5,6,7,8,9,10,11,12
65,60,"Driphus Jackson, QB",RICE,185,316,58.5,2348,7.4,60,18,7,34,135.3
66,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
67,61,"Anu Solomon, QB",ARIZ,192,306,62.7,2338,7.6,70,18,4,19,143.7
68,62,"Brogan Roback, QB",EMU,211,346,61.0,2304,6.7,64,16,11,12,125.8
69,63,"Riley Neal, QB",BALL,228,391,58.3,2276,5.8,53,16,6,9,117.6
70,64,"Cody Clements, QB",USA,171,324,52.8,2272,7.0,76,13,15,24,115.7
71,65,"Matt Davis, QB",SMU,183,336,54.5,2263,6.7,63,16,7,38,122.6
72,,"Taylor Lamb, QB",APP,157,257,61.1,2263,8.8,58,29,8,9,166.1
73,67,"Chris Laviano, QB",RUTG,187,307,60.9,2247,7.3,58,16,12,24,131.8
74,68,"Kyle Allen, QB",TA&M,160,283,56.5,2210,7.8,95,17,7,23,137.0
75,69,"Nathan Peterman, QB",PITT,180,293,61.4,2150,7.3,51,19,5,25,141.1
76,70,"Patrick Towles, QB",UK,183,326,56.1,2148,6.6,53,9,14,25,112.0
77,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
78,71,"Joshua Dobbs, QB",TENN,191,319,59.9,2125,6.7,75,15,5,19,128.2
79,72,"Seth Russell, QB",BAY,119,200,59.5,2104,10.5,87,29,6,3,189.7
80,73,"Tyler Stewart, QB",NEV,180,313,57.5,2065,6.6,73,15,7,21,124.3
81,74,"Thomas Woodson, QB",AKR,148,278,53.2,2034,7.3,72,16,10,10,126.5
82,75,"Garrett Smith, QB",ULM,191,333,57.4,2033,6.1,69,17,11,24,118.9
83,76,"Travis Wilson, QB",UTAH,186,298,62.4,2024,6.8,66,13,10,20,127.2
84,77,"Quinton Flowers, QB",USF,149,244,61.1,2023,8.3,71,21,8,20,152.6
85,78,"Bryant Shirreffs, QB",CONN,158,262,60.3,1992,7.6,69,9,7,32,130.2
86,79,"Drew Hare, QB",NIU,164,257,63.8,1962,7.6,67,14,4,15,142.8
87,80,"Cameron Coffman, QB",WYO,152,241,63.1,1951,8.1,92,18,10,25,147.4
88,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
89,81,"Perry Orth, QB",SC,143,261,54.8,1929,7.4,78,12,9,17,125.1
90,82,"Brandon Harris, QB",LSU,135,254,53.2,1904,7.5,67,12,5,17,127.8
91,83,"Kenny Potter, QB",SJSU,172,251,68.5,1895,7.6,42,14,6,28,145.6
92,84,"Greyson Lambert, QB",UGA,152,236,64.4,1844,7.8,48,11,2,9,143.7
93,85,"Joe Hubener, QB",KSU,131,274,47.8,1837,6.7,72,9,9,21,108.4
94,86,"Derrius Vick, QB",OHIO,158,247,64.0,1809,7.3,67,10,6,21,134.0
95,87,"John Wolford, QB",WAKE,142,233,60.9,1791,7.7,58,9,11,23,128.8
96,88,"Everett Golson, QB",FSU,147,219,67.1,1778,8.1,70,11,3,18,149.2
